address,price,beds,baths,area,statusText,latitude,longitude,url
"646 N 68th Ln #141, Phoenix, AZ 85043","$59,000",2,2,980,For sale by owner,33.456448,-112.207695,https://www.zillow.comhttps://www.zillow.com/homedetails/646-N-68th-Ln-141-Phoenix-AZ-85043/440953883_zpid/
"9428 N 9th Ave, Phoenix, AZ 85021","$309,855",6,3,1920,New construction,33.572247,-112.08504,https://www.zillow.comhttps://www.zillow.com/homedetails/9428-N-9th-Ave-Phoenix-AZ-85021/7782040_zpid/
"18629 N 4th Dr, Phoenix, AZ 85027","$369,900",3,3,1339,House for sale,33.65592,-112.07967,https://www.zillow.comhttps://www.zillow.com/homedetails/18629-N-4th-Dr-Phoenix-AZ-85027/7972616_zpid/
"11627 S Iroquois Dr, Phoenix, AZ 85044","$335,000",3,2,1170,House for sale,33.341457,-111.98396,https://www.zillow.comhttps://www.zillow.com/homedetails/11627-S-Iroquois-Dr-Phoenix-AZ-85044/8149533_zpid/
"2909 W Bowker St, Phoenix, AZ 85041","$469,000",4,3,2315,House for sale,33.39631,-112.121216,https://www.zillow.comhttps://www.zillow.com/homedetails/2909-W-Bowker-St-Phoenix-AZ-85041/71605270_zpid/
"3118 E Gary Way, Phoenix, AZ 85042","$1,100,000",4,4,3091,House for sale,33.37403,-112.01565,https://www.zillow.comhttps://www.zillow.com/homedetails/3118-E-Gary-Way-Phoenix-AZ-85042/284863143_zpid/
"22432 N 52nd Pl, Phoenix, AZ 85054","$850,000",4,2.5,2113,House for sale,33.690456,-111.96463,https://www.zillow.comhttps://www.zillow.com/homedetails/22432-N-52nd-Pl-Phoenix-AZ-85054/7989261_zpid/
"3408 N 69th Dr, Phoenix, AZ 85033","$375,000",3,2,1264,House for sale,33.487873,-112.2093,https://www.zillow.comhttps://www.zillow.com/homedetails/3408-N-69th-Dr-Phoenix-AZ-85033/7485970_zpid/
"4537 E Shomi St, Phoenix, AZ 85044","$290,000",2,2,1426,House for sale,33.327065,-111.985306,https://www.zillow.comhttps://www.zillow.com/homedetails/4537-E-Shomi-St-Phoenix-AZ-85044/8150902_zpid/
"13438 N 18th Ln, Phoenix, AZ 85029","$585,000",5,4,2879,For sale by owner,33.609116,-112.09935,https://www.zillow.comhttps://www.zillow.com/homedetails/13438-N-18th-Ln-Phoenix-AZ-85029/7784589_zpid/
"1720 W Pollack St, Phoenix, AZ 85041","$340,000",4,2.5,2079,House for sale,33.380123,-112.09572,https://www.zillow.comhttps://www.zillow.com/homedetails/1720-W-Pollack-St-Phoenix-AZ-85041/121856032_zpid/
"3811 E Evans Dr, Phoenix, AZ 85032","$624,888",4,2,1907,House for sale,33.6182,-111.998276,https://www.zillow.comhttps://www.zillow.com/homedetails/3811-E-Evans-Dr-Phoenix-AZ-85032/8012718_zpid/
